,business_id,city,full_address,latitude,longitude,name,review_count,stars,state,Sunday_Open,Sunday_Close,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Noise Level,Attire,Alcohol,Price_Range,Delivery,Outdoor_Seating,Drive-Thru,Good_for_Groups,Has_TV,Caters,Waiter_Service,Good_for_Kids,Accepts_Credit_Cards,Takes_Reservations,Wi_Fi,Happy_Hour,Good_for_Dancing,Smoking,BYOB,Corkage,Take_Out,Coat_Check,Parking_Street,Parking_Valet,Parking_Lot,Parking_Garage,Parking_Validated,Music_DJ,Music_Karaoke,Music_Video,Music_Live,Music_Jukebox,Music_Background_Music,Is_Restaurants,Sandwiches,Fast Food,Nightlife,Pizza,Bars,Mexican,Food,American (Traditional),Burgers,Chinese,Italian,American (New),Breakfast & Brunch,Thai,Indian,Sushi Bars,Korean,Mediterranean,Japanese,Seafood,Middle Eastern,Pakistani,Barbeque,Vietnamese,Asian Fusion,Diners,Greek,Vegetarian,Number_of_Checkins,Number_of_Tips,Number_of_Tip_Likes
2213,x5Mv61CnZLohZWxfCVCPTQ,Phoenix,"2819 N Central Ave Phoenix, AZ 85004",33.4794817,-112.07368059999999,Domino's Pizza,16,2.5,AZ,10:00,00:00,10:00,00:00,10:00,00:00,10:00,00:00,10:00,00:00,10:00,02:00,10:00,02:00,loud,casual,none,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,no,,,,,,1.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0
2214,2ZnCITVa0abGce4gZ6RhIw,Phoenix,"1850 N Central Ave Phoenix, AZ 85004",33.4685474,-112.07508490000002,Viad Tower Restaurants,6,3.5,AZ,,,,,,,,,,,,,,,quiet,,,1.0,0.0,,,1.0,,,,1.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,1,0
2215,EmzaQR5hQlF0WIl24NxAZA,Phoenix,"132 E Washington St Phoenix, AZ 85004",33.4483992,-112.07170190000001,Sky Lounge,25,2.5,AZ,09:00,03:00,,,,,,,09:00,03:00,09:00,03:00,09:00,03:00,very_loud,casual,full_bar,1.0,0.0,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,no,0.0,1.0,outdoor,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,3,0
2219,KPoTixdjoJxSqRSEApSAGg,Phoenix,"2631 N Central Ave Phoenix, AZ 85004",33.477939,-112.07341699999999,Wild Thaiger,432,3.5,AZ,17:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,22:00,11:00,22:00,average,casual,full_bar,2.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,free,,,,,,1.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993,108,0
2227,e5kc0CQ4R-PCCDgb274gSg,Phoenix,"455 N 3rd St Ste 114 Phoenix, AZ 85004",33.4521542,-112.0686202,Canyon Cafe,238,3.5,AZ,11:00,21:00,11:00,21:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,average,casual,full_bar,2.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,,,,,,1.0,,0.0,0.0,0.0,1.0,0.0,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,47,1
2228,gBcpDl0quCLABsg5OuSFww,Phoenix,"622 E Adams St Phoenix, AZ 85004",33.4492979,-112.06554229999999,Teeter House Tea Room,12,3.5,AZ,,,,,,,,,,,,,,,,casual,full_bar,2.0,0.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,0.0,0.0,0.0,1.0,1.0,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2230,72N6TdH5MdUWE2YhYRbyxw,Phoenix,"2530 N Central Ave Phoenix, AZ 85004",33.476259999999996,-112.074248,Burger King,12,2.5,AZ,,,,,,,,,,,,,,,,casual,none,3.0,0.0,,0.0,0.0,,,0.0,1.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0
2231,eOgUKCy5-sK-leqIBiNokg,Phoenix,"2 N Central Ave Phoenix, AZ 85004",33.448491100000005,-112.0744277,Copper Square Cafe,3,3.0,AZ,,,07:00,15:00,07:00,15:00,07:00,15:00,07:00,15:00,07:00,15:00,,,,casual,,1.0,1.0,0.0,,1.0,0.0,,0.0,1.0,1.0,0.0,,,,,,,1.0,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2238,neGAQFkBNI8-rpPBLBzNkw,Phoenix,"301 East McDowell Road Phoenix, AZ 85004",33.46544,-112.06908999999999,Taco Bell,10,4.0,AZ,07:00,01:00,07:00,01:00,07:00,01:00,07:00,01:00,07:00,01:00,07:00,02:00,07:00,02:00,average,casual,none,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,no,,,,,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,8,0
2239,45puCRQ6Vh_IIAy7kkfFDQ,Phoenix,"24 N 2nd St Phoenix, AZ 85004",33.448465399999996,-112.07125740000001,Majerle's Sports Grill,205,3.5,AZ,11:00,02:00,11:00,02:00,11:00,02:00,11:00,02:00,11:00,02:00,11:00,02:00,11:00,02:00,loud,casual,full_bar,2.0,0.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,no,1.0,0.0,no,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978,59,0
